OBJECTID,YEAR_,STATE,AGENCY,UNIT_ID,FIRE_NAME,INC_NUM,ALARM_DATE,CONT_DATE,CAUSE,C_METHOD,OBJECTIVE,GIS_ACRES,COMMENTS,COMPLEX_NAME,IRWINID,FIRE_NUM,COMPLEX_ID,DECADES,Shape__Area,Shape__Length
32,2023,CA,CCO,KRN,LAVENDER ,23-21875,2023/05/14 00:00:00+00,2023/05/14 00:00:00+00,2,1,1,14.74279,,,{9C62D925-2E90-4E1D-894C-D9B42BDE3374},,,2020,90465.5625,1800.28339730919
33,2023,CA,LRA,KRN,POND,23-22631,2023/05/18 00:00:00+00,2023/05/18 00:00:00+00,14,7,1,6.763345,,,,,,2020,44627.17578125,1060.99837142796
34,2023,CA,CCO,KRN,ELK,23-23270,2023/05/21 00:00:00+00,2023/05/21 00:00:00+00,14,1,1,9.687215,,,{42200379-0E06-45C6-9088-08A4A864A1C3},,,2020,58624.11328125,1374.36226100426
35,2023,CA,CCO,KRN,TOLL,23-23490,2023/05/22 00:00:00+00,2023/05/22 00:00:00+00,14,1,1,6.860587,,,{AD33BA43-3D1A-4058-ABDB-190663094691},,,2020,41750.76171875,1105.91052052054
36,2023,CA,CCO,KRN,POINT,23-25671,2023/06/04 00:00:00+00,2023/06/04 00:00:00+00,2,1,1,4.915308,,,{15B30FD7-E1B9-43FE-9AEA-47971297B610},,,2020,29805.7109375,907.303007096636
37,2023,CA,CCO,KRN,PENTLAND,23-25892,2023/06/05 00:00:00+00,2023/06/06 00:00:00+00,14,1,1,83.47556,,,{E7F412BC-CF01-4554-ABA6-CEF885F1C103},,,2020,504927.51171875,4146.01597875623
38,2023,CA,CCO,KRN,LITTLE,23-26311,2023/06/08 00:00:00+00,2023/06/08 00:00:00+00,5,1,1,59.26785,,,{714280F7-556F-4D9C-87E5-DA30D20A82D1},,,2020,363380.9921875,3161.21385528543
39,2023,CA,CCO,KRN,ELK,23-27131,2023/06/13 00:00:00+00,2023/06/13 00:00:00+00,11,1,1,5.666053,,,{0960091D-3CA7-4DBF-B15D-2F26832188F7},,,2020,34513.80078125,1180.02780027584
40,2023,CA,CCO,KRN,TANK,23-28282,2023/06/20 00:00:00+00,2023/06/21 00:00:00+00,14,1,1,5.777378,,,{661E2ADE-9A60-4743-9FFF-52EFB2E700FB},,,2020,35535.09375,1446.9448978274
41,2023,CA,CCO,KRN,FAMOSO,23-28727,2023/06/23 00:00:00+00,2023/06/23 00:00:00+00,14,1,1,6.419109,,,,,,2020,39402.58203125,773.845044652949
42,2023,CA,CCO,KRN,LAST,23-28896,2023/06/24 00:00:00+00,2023/06/24 00:00:00+00,14,1,1,3.334712,,,{A2E2ED4D-ED33-4AEF-9532-40647417D2AC},,,2020,20361.14453125,646.584897570341
43,2023,CA,CCO,KRN,POST,23-29421,2023/06/27 00:00:00+00,2023/06/27 00:00:00+00,14,1,1,5.966745,,,{946A8CB2-4F4E-4BB2-B2DE-E8AB99431480},,,2020,36596.77734375,1362.92193236612
44,2023,CA,CCO,KRN,WATER,23-29476,2023/06/27 00:00:00+00,2023/06/27 00:00:00+00,14,1,1,7.961721,,,{7AB6162A-8A5E-4CB1-B31F-294D0FE55022},,,2020,48856.96875,1201.87791796314
45,2023,CA,CCO,KRN,CHAMPAGNE,23-29961,2023/06/30 00:00:00+00,2023/06/30 00:00:00+00,11,1,1,107.8487,,,{87717210-BEED-4214-945C-3339EA5B6A47},,,2020,651052.49609375,4648.68537232396
46,2023,CA,CCO,KRN,TRUCK,23-30046,2023/06/30 00:00:00+00,2023/07/01 00:00:00+00,14,1,1,17.15697,,,{E3765817-840C-4B2C-820D-03A62C5BC5D8},,,2020,103697.05078125,2221.2211032266
47,2023,CA,CCO,KRN,ROUND,23-30473,2023/07/03 00:00:00+00,2023/07/03 00:00:00+00,14,1,1,536.0197,,,{B4242042-2EFE-435F-A36A-6B59D7A2024A},,,2020,3290774.2578125,11616.3652403161
48,2023,CA,CCO,KRN,CANYON,23-30325,2023/07/02 00:00:00+00,2023/07/03 00:00:00+00,14,1,1,9.05986,,,{04116A59-A1EF-4D62-8C07-D5F7484601C3},,,2020,54912.9453125,1875.04816244704
49,2023,CA,CCO,KRN,SOUTH 2,23-30565,2023/07/03 00:00:00+00,2023/07/03 00:00:00+00,14,1,1,9.613276,,,{EA3AF6CE-6390-462E-9905-5C95DAD0CB17},,,2020,67641.21484375,1438.10278837926
50,2023,CA,CCO,KRN,TREE,23-30723,2023/07/04 00:00:00+00,2023/07/04 00:00:00+00,14,1,1,6.170191,,,{952FD679-0E1D-405D-B289-62F5AE6675B8},,,2020,37428.29296875,1100.11406446195
51,2023,CA,CCO,KRN,BAKER,23-32167,2023/07/11 00:00:00+00,2023/07/11 00:00:00+00,14,1,1,3.72376,,,{C6901541-B7ED-428F-B109-75066492826A},,,2020,22675.671875,1174.85848737343
52,2023,CA,CCO,KRN,MID,23-32474,2023/07/13 00:00:00+00,2023/07/13 00:00:00+00,14,1,1,4.990486,,,{EC3D71E4-55C4-4566-B195-F402B582523B},,,2020,30309.01171875,777.184071121593
53,2023,CA,CCO,KRN,DISTRICT,23-31430,2023/07/07 00:00:00+00,2023/07/12 00:00:00+00,14,2,1,1043.665,,,{EA00B1B4-5871-4C87-AB80-9B68D5098CD0},,,2020,6292144.94140625,12913.9059085782
54,2023,CA,CCO,KRN,BODFISH,23-33592,2023/07/19 00:00:00+00,2023/07/20 00:00:00+00,14,1,1,52.75753,,,{BC93D908-33C6-4BF5-BCB8-5177FE74CE83},,,2020,321188.984375,2453.60466606071
55,2023,CA,CCO,KRN,SCODIE,23-35185,2023/07/28 00:00:00+00,2023/07/31 00:00:00+00,14,1,1,20.61374,,,{A10277F3-E477-4299-8F4D-949B40FC1AAE},,,2020,126800.3203125,4049.18938777411
56,2023,CA,CCO,KRN,BEALE,23-35614,2023/07/31 00:00:00+00,2023/08/01 00:00:00+00,14,1,1,60.6251,,,{3D3FDB10-B268-4392-8947-1999CAF57F0C},,,2020,368792.39453125,3734.17974082288
57,2023,CA,CCO,KRN,HABERKERN,23-35677,2023/07/31 00:00:00+00,2023/08/01 00:00:00+00,14,1,1,34.74714,,,{40701B4A-C535-4B6A-936E-8AFE71047C03},,,2020,209238.98828125,3222.64980333255
58,2023,CA,CCO,KRN,COMANCHE,23-35813,2023/08/01 00:00:00+00,2023/08/01 00:00:00+00,14,1,1,4.387525,,,,,,2020,26755.98828125,786.570330819241
59,2023,CA,CCO,KRN,EAST,23-35760,2023/08/01 00:00:00+00,2023/08/01 00:00:00+00,14,1,1,1291.166,,,{E3496E18-73E9-4C83-BA88-2A0805CC469E},,,2020,7899533.1953125,15390.5216597692
60,2023,CA,CCO,KRN,EDMONSTON,23-36091,2023/08/03 00:00:00+00,2023/08/04 00:00:00+00,14,1,1,14.59014,,,{3BDFED3A-E5DA-4D4C-84CE-765472D01A87},,,2020,88044.421875,1789.61277467236
61,2023,CA,CCO,KRN,ALMOND,23-36511,2023/08/06 00:00:00+00,2023/08/07 00:00:00+00,14,1,1,5228.871,,,{8BF47465-2934-439A-B5D2-36047256714F},,,2020,32043957.1210938,45656.0660909036
62,2023,CA,CCO,KRN,BOULEVARD,23-36217,2023/08/04 00:00:00+00,2023/08/07 00:00:00+00,14,1,1,89.46474,,,{5C095992-285B-4E6C-BECE-98F8C8352C18},,,2020,542043.421875,8956.07928963521
63,2023,CA,CCO,KRN,BRITE,23-37066,2023/08/09 00:00:00+00,2023/08/09 00:00:00+00,14,1,1,3.816716,,,{C6299ACC-E286-46A4-8392-EDCC4AFF337A},,,2020,23131.67578125,712.314840154778
64,2023,CA,CCO,KRN,GENERAL,23-37712,2023/08/13 00:00:00+00,2023/08/13 00:00:00+00,1,1,1,16.05068,,,{6D4E368F-7B30-4316-9CB2-077EFA6DD14B},,,2020,97481.0390625,1702.3947196682
65,2023,CA,CCO,KRN,TROTTER,23-37821,2023/08/14 00:00:00+00,2023/08/17 00:00:00+00,14,1,1,52.54716,,,{5C9F8E96-A816-4A3C-9D0B-E2E06DA19D88},,,2020,318702.40234375,4868.13291235762
66,2023,CA,CCO,KRN,GROVE,23-37846,2023/08/14 00:00:00+00,2023/08/14 00:00:00+00,14,1,1,4.713907,,,{E778E8BA-2671-4F47-8EFE-EF943B989AA7},,,2020,28567.82421875,1609.3463258167
67,2023,CA,CCO,KRN,BLACKWELL,23-38706,2023/08/19 00:00:00+00,2023/08/19 00:00:00+00,1,1,1,34.64903,,,,,,2020,212358.31640625,2262.75029492936
68,2023,CA,CCO,KRN,SEMI,23-39887,2023/08/27 00:00:00+00,2023/08/27 00:00:00+00,10,1,1,4.015996,,,,,,2020,24437.2109375,825.463446811665
69,2023,CA,CCO,KRN,DEN,23-40087,2023/08/28 00:00:00+00,2023/08/28 00:00:00+00,14,1,1,33.32077,,,{C59CE17C-F069-4646-8922-1ECA0149D8C1},,,2020,205300.015625,2251.13933798717
70,2023,CA,CCO,KRN,ROLLING,23-41929,2023/09/09 00:00:00+00,2023/09/09 00:00:00+00,14,1,1,7.908133,,,{E7CF5300-9B71-4F92-A473-EAFC9CC96242},,,2020,48110.3515625,1631.9377204392
71,2023,CA,CCO,KRN,TULE,23-42016,2023/09/09 00:00:00+00,2023/09/10 00:00:00+00,14,1,1,7.309518,,,{A379318A-CF63-458B-BAC2-3825426D025E},,,2020,44897.9921875,924.004655341922
72,2023,CA,CCO,KRN,CALIENTE ,23-43040,2023/09/16 00:00:00+00,2023/09/17 00:00:00+00,14,1,1,55.02539,,,{6632FF31-80D4-4C28-9A79-7B7DD5C662A5},,,2020,334837.2265625,3260.97691659367
73,2023,CA,CCO,KRN,FLAT,23-43755,2023/09/21 00:00:00+00,2023/09/21 00:00:00+00,14,1,1,10.37647,,,{8C0DEC8E-6ABE-43F3-9CB4-709F9BF85ADA},,,2020,63111.26171875,1553.04377703671
74,2023,CA,CCO,KRN,TOWER ,23-43839,2023/09/22 00:00:00+00,2023/09/22 00:00:00+00,14,1,1,5.175606,,,{880D76D2-C731-4776-A10D-64D13D3C7E40},,,2020,31535.8984375,1666.75188837585
75,2023,CA,CCO,KRN,POSO ,23-43936,2023/09/22 00:00:00+00,2023/09/22 00:00:00+00,14,1,1,5.002238,,,,,,2020,30675.01171875,1041.26604286787
76,2023,CA,CCO,KRN,BLUE BARN ,23-44532,2023/09/26 00:00:00+00,2023/09/27 00:00:00+00,14,1,1,7.971368,,,{0DFB2415-2495-4F60-A8E4-B82F6CAEBF44},,,2020,48879.41015625,1049.61124597768
77,2023,CA,CCO,KRN,CORNER,23-44583,2023/09/27 00:00:00+00,2023/09/27 00:00:00+00,14,1,1,6.430629,,,,,,2020,39461.25390625,987.043563638193
78,2023,CA,CCO,KRN,ROCK,23-44588,2023/09/27 00:00:00+00,2023/09/27 00:00:00+00,14,1,1,13.71712,Crew 10,,,,,2020,82917.8359375,1781.1103614216
79,2023,CA,CCO,KRN,SKY,23-45999,2023/10/06 00:00:00+00,2023/10/06 00:00:00+00,14,1,1,4.440306,,,{44513543-1007-4350-93B0-79A41E38DE5D},,,2020,27030.42578125,1277.93106273961
80,2023,CA,CCO,KRN,LIERLY,23-46196,2023/10/07 00:00:00+00,2023/10/07 00:00:00+00,14,1,1,3.030688,,,,,,2020,18364.57421875,881.18766333832
81,2023,CA,CCO,KRN,ANNETTE,23-47880,2023/10/18 00:00:00+00,2023/10/18 00:00:00+00,14,1,1,5.226628,,,,,,2020,32146.07421875,860.348696807882
82,2023,CA,CCO,KRN,CREEK,23-49122,2023/10/26 00:00:00+00,2023/10/26 00:00:00+00,14,1,1,6.315729,,,{8A0359A1-B813-4D5A-A8D5-8B8A71CC8877},,,2020,38482.625,850.97167833716
83,2023,CA,CCO,KRN,SHERWOOD,23-49440,2023/10/28 00:00:00+00,2023/10/28 00:00:00+00,14,1,1,8.496378,,,{7239E5CC-0A48-456E-855D-9038A8AF7435},,,2020,52123.60546875,1176.99143915499
84,2023,CA,CCO,KRN,CROCKER,23-49527,2023/10/29 00:00:00+00,2023/10/29 00:00:00+00,14,1,1,8.202892,,,{35623C45-C178-432E-92BC-7D1C3B6E02A1},,,2020,49831.3046875,1154.94838622602
85,2023,CA,CCO,KRN,BRONZE,23-49619,2023/10/29 00:00:00+00,2023/10/29 00:00:00+00,14,1,1,5.487661,,,{86C611EC-6A8A-4994-95D1-CD54BEA04C06},,,2020,33676.4765625,978.395090240878
86,2023,CA,CCO,KRN,KERN,23-50199,2023/11/02 00:00:00+00,2023/11/02 00:00:00+00,14,1,1,16.76435,,,{77089C2E-8905-487C-B382-A421850529D8},,,2020,102302.58984375,1533.5443995333
87,2023,CA,CCO,KRN,LINE,23-51193,2023/11/08 00:00:00+00,2023/11/08 00:00:00+00,14,1,1,86.2767,,,{F64B92B5-871B-4906-ACDB-82655FFE5663},,,2020,527799.0625,3885.53783423904
88,2023,CA,CCO,KRN,FIELD,23-51487,2023/11/10 00:00:00+00,2023/11/10 00:00:00+00,14,1,1,15.04139,,,{A7AABAEF-4DE5-4362-B8F3-87952820E4A3},,,2020,92238.10546875,1413.35123886369
89,2023,CA,CCO,KRN,FANO,23-21349,2023/05/11 00:00:00+00,2023/05/11 00:00:00+00,14,6,1,3.00047,,,{2365547B-5F2C-4A37-A299-B5456E6FE3C7},,,2020,46223.17578125,1389.53120265833
90,2023,CA,CCO,KRN,FANO 2,23-53238,2023/11/21 00:00:00+00,2023/11/21 00:00:00+00,14,1,1,3.433622,,,{B2275F14-C885-40A8-9733-912653A975FC},,,2020,21001.1953125,568.788494578366
91,2023,CA,CCO,KRN,FRONT,23-46180,2023/10/07 00:00:00+00,2023/10/07 00:00:00+00,14,1,1,7.258909,,,{5938DB22-02DA-444C-85EB-6C285D19E7BD},,,2020,44394.96875,1535.67978415336
92,2023,CA,CCO,KRN,HOLLOW,23-47784,2023/10/18 00:00:00+00,2023/10/18 00:00:00+00,14,1,1,13.32836,,,{712763BA-65AA-4524-B697-68714844620B},,,2020,81629.73046875,1303.98165470329
93,2023,CA,CCO,SBC,PLANT,00011307,2023/08/19 00:00:00+00,2023/08/31 00:00:00+00,11,3,1,5761.521,FIRIS INTEL 12,,{B31604C4-AC56-47F4-85A8-222B39107AC5},,,2020,34771286.984375,52880.1507570325
94,2023,CA,CCO,SBC,SUN,00015577,2023/11/09 00:00:00+00,2023/11/13 00:00:00+00,2,3,1,211.192,FIRIS INTEL 24,,{53134DE6-AD4A-4843-9F35-3276E7106692},,,2020,1263209.25390625,6407.74367740057
95,2023,CA,CCO,SBC,GRADE,00013773,2023/10/06 00:00:00+00,2023/10/07 00:00:00+00,10,1,1,95.66613,,,{42D25FFF-E9DE-4D2F-9B14-F112D6D3BF8D},,,2020,572195.2265625,5628.22411344363
96,2023,CA,CDF,NEU,SCOTT,00016726,2023/06/15 00:00:00+00,2023/06/15 00:00:00+00,14,1,1,94.27705,,,{40E88DAD-E4EC-4A26-A8FA-56CDB5557DBD},,,2020,729429.28515625,4916.56253133477
97,2023,CA,CDF,NEU,PEOIRA,00017574,2023/06/23 00:00:00+00,2023/06/23 00:00:00+00,14,1,1,58.00984,,,{10FD75CF-6514-4448-8FAE-5083F709B7DB},,,2020,392011.09375,2779.40065569763
98,2023,CA,CDF,NEU,SICARD,00015137,2023/05/30 00:00:00+00,2023/05/30 00:00:00+00,11,1,1,13.73,,,{E56CA576-CBD5-486D-8DC7-1F88691EAEC},,,2020,91543.4140625,1820.06844997656
99,2023,CA,CCO,KRN,TULE 2,23-55247,2023/12/03 00:00:00+00,2023/12/03 00:00:00+00,14,1,1,3.12156, ,,,,,2020,18763.0078125,975.070567845394
100,2023,CA,CCO,KRN,RANCHO,23-55468,2023/12/04 00:00:00+00,2023/12/04 00:00:00+00,14,1,1,2.2649, ,,{AD1383E2-9B3F-4291-991A-2862F13A450B},,,2020,13228,666.591320641136
101,2023,CA,CCO,KRN,PINE,23-57131,2023/12/15 00:00:00+00,2023/12/16 00:00:00+00,14,1,1,169.973,Crew 11,,{BE702B12-1EFB-4F22-82BA-D20CD47B29C1},,,2020,1041987.03125,5519.3161410333
102,2023,CA,CDF,MMU,WHISKEY,00014460,2023/07/03 00:00:00+00,2023/07/03 00:00:00+00,2,1,1,83,,,{8430364A-761D-4B52-88B9-DE5B8AE4C36F},,,2020,528590.0625,3723.28800078224
103,2023,CA,CDF,BEU,WILLIAMS,00004739,2023/08/13 00:00:00+00,2023/08/16 00:00:00+00,9,7,1,4.5,,,{85F6F07A-0EAA-4057-97AE-DFDFEBA06CAF},,,2020,27820.04296875,740.678816912956
104,2023,CA,CCO,VNC,TRAIL,00063257,2023/07/26 00:00:00+00,2023/07/27 00:00:00+00,14,3,1,1.655345,,,{1D0D7BB8-5E56-4EE8-A258-F566D3EF2EC4},,,2020,9795.05078125,785.699282226667
105,2023,CA,LRA,VNC,VILLANOVA,00056809,2023/07/05 00:00:00+00,2023/07/06 00:00:00+00,14,1,1,13.01236,,,{97076C25-D533-478C-9D51-DD91615CD323},,,2020,77596.91015625,1574.08464907446
106,2023,CA,CCO,VNC,SOUTH,00105733,2023/12/09 00:00:00+00,2023/12/12 00:00:00+00,14,3,1,2715.4,"FIRIS flight 1100hrs
",,{4836B1E0-E9E7-4B89-8DFC-1D1029F53B72},,,2020,16143487.7421875,46856.1700438683
107,2023,CA,CDF,RRU,ROCK,00116806,2023/08/09 00:00:00+00,2023/08/10 00:00:00+00,14,1,1,531.0221, ,,{CC12CC5A-906C-47FD-9F49-4F0BC4638BEF},,,2020,3125684.390625,9266.77327412283
108,2023,CA,CDF,RRU,BONNY,00109851,2023/07/26 00:00:00+00,2023/08/07 00:00:00+00,14,1,1,2323.106,Auto-generated by EGP-IRWIN,,{BD1CCE01-5E88-4ED7-A146-5FBBC6524C8F},,,2020,13545480.4726562,30310.0484777186
109,2023,CA,CDF,BEU,WILLIAMS,00005844,2023/10/06 00:00:00+00,2023/10/09 00:00:00+00,9,7,1,53.9,,,{C70FCB87-A1D6-4BC6-A2B9-C82B7113B932},,,2020,334473.51171875,4810.72489922024
110,2023,CA,LRA,NEU,TANWOODS,00020208,2023/07/16 00:00:00+00,2023/07/16 00:00:00+00,14,4,1,9.532271,,,{6D04EE7F-EB5E-45EB-AFF3-BCE4ABCE1994},,,2020,63489.2890625,1306.55259728356
111,2023,CA,LRA,NEU,FOOTHILLS,00022526,2023/08/05 00:00:00+00,2023/08/05 00:00:00+00,14,1,1,25,,,{E110EF86-4554-4F3D-A292-E636EA6FEC36},,,2020,166830.6015625,2057.58620182663
112,2023,CA,LRA,NEU,BREWER,00019665,2023/07/11 00:00:00+00,2023/07/11 00:00:00+00,14,1,1,11.63,,,{D426CF14-A79F-43CA-B035-04158E4CB3AC},,,2020,72340.890625,1438.59412432952
113,2023,CA,LRA,NEU,ERIC,00016161,2023/06/09 00:00:00+00,2023/06/09 00:00:00+00,14,1,1,44,,,{FF7142C6-CEE2-4236-A515-AF26A262FA96},,,2020,297833.75,3808.76400735729
114,2023,CA,CDF,NEU,SPENCEVILLE,00021414,2023/07/26 00:00:00+00,2023/07/31 00:00:00+00,2,1,1,10.8,,,{F5E94680-A70F-4CA4-9D81-DAA20FA57E66},,,2020,71087.25,1270.33273404977
115,2023,CA,CDF,NEU,DOOLITTLE,00021981,2023/07/31 00:00:00+00,2023/07/31 00:00:00+00,14,1,1,16.6,,,{A475E242-39EB-481A-ACC0-A8E4F26B46A5},,,2020,16168.75390625,721.610566392573
116,2023,CA,CDF,TCU,GANN,00008603,2023/07/02 00:00:00+00,2023/07/02 00:00:00+00,14,1,1,106,,,{0B9F95C3-26E6-4F2F-8E94-653E5541E771},,,2020,689467.51953125,5341.28042082055
117,2023,CA,CDF,MEU,HAZEL,00010484,2023/08/29 00:00:00+00,2023/08/29 00:00:00+00,15,1,1,0.46,,,{D04DF791-457F-4A36-A8DD-7C1F340DEC96},,,2020,3168.8984375,219.283288108808
